BlaI	BlaZ	CHIPS	Cna	EdinB	EtD	Fib	GapA	Hla	Hld	HlgA	HlgB	HlgC	IsaB	KatA	LukD	LukE	LukG	LukH	PBP2A	Nuc	PSMa1	PSMa4	LukF	LukS	Sak	SarA	Sbi	SCIN	SdrD	SEA	SEC	Spa	SplB	SspA_V8	ScpA	TSST1
0,18	0,05	0	0	2,42	1,36	0,24	0,24	0,96	46,87	0,03	0,01	0,9	0,07	0,03	0	0	0,29	0,06	0,02	2,5	2,7	0	2,34	3,24	0,18	0,12	0,19	0,81	0,06	0	0	0,06	0,13	0,1	0,49	0
0	0	0,22	0,05	0	0	0,04	0,54	3,05	111,91	0,03	0	0,61	0	0,1	0	0	0	0,01	0	1,87	30,58	0,1	0	0	0	0,24	0,14	0,06	0	0	0	0	0	0,07	0,28	0
0,26	0,03	0	0,04	0	0	0,16	0,5	0,08	47,25	0,01	0	0,25	0,03	0,08	0,01	0,02	0,17	0,05	0	0,76	7,98	0,03	0	0	0,08	0,28	0,16	0,38	0	0,06	0	0	0,04	0,05	0,19	0
0,18	0,07	0	0,05	0,81	0	0	0,56	2,1	165,15	0	0,06	0	0,09	0,22	0,05	0	0	0,09	0	2,03	20,43	0,1	6,44	9,49	0,12	0,35	0,31	0,53	0,79	0	0	0	0	0,49	0,19	0
0,21	0,06	0,23	0	1,97	1,42	0,06	0,36	1,21	85,71	0,08	0	0	0	0,07	0,08	0	0,06	0,11	0	2,46	10,3	0,04	0	0	0,1	0,26	0,12	0,57	0	0	0	0	0	1,12	0,63	0
0,19	0	0,08	0	0	0	0,1	0,26	0	0	0	0	0	0,08	0,06	0	0	0,03	0,01	0	0,72	0	0	0	0	0,07	0,1	0,38	0,6	0	0,02	0	0,04	0	0,02	0	0
0,25	0	0	0,02	0	0	0,08	0,12	0,27	18,18	0,01	0	0,21	0,05	0,03	0	0	1,82	0,06	0	1,2	17,78	0,06	0	0	0,1	0,04	0,34	0,58	0,51	0	0	0,01	0	0	0	0
0,12	0,02	0	0	0	0	0,18	0,42	0,34	16,78	0	0	0,02	0,08	0,05	0	0	0,02	0	0	0,67	3,37	0,03	0,03	0,04	0,03	0,12	0,19	0,33	0,67	0	0	0,55	0	0,01	0	0
0,29	0,03	0	0,04	0	0	0,05	0,29	2,62	84,79	0	0	0,25	0,05	0,07	0,14	0	2,24	0,08	0	1,18	8,28	0,03	5,47	6,77	0,12	0,17	0,13	0,39	0,05	0	0	0	0	0,17	0,43	0
0,13	0,02	0,85	0	0	0	0,23	0,32	0,63	191,62	0	0	0	0,09	0,06	0,56	0	0	0,24	0	1,04	13,64	0,07	17,09	18,12	0,09	0,45	0	1,19	0	0	0	0	0	0,32	0,42	0
0,1	0,02	0,26	0,06	0,73	0	0	0,55	1,11	226,66	0	0,04	0	0,12	0,11	0,2	0	0	0,16	0	0,95	24,05	0,1	12,04	12,58	0,07	0,4	0,32	1,36	0,32	0	0	0,11	0	0,27	0,51	0
0	0	0	0	0	0	0,45	0,51	0,41	160,7	0,02	0	0,52	0,18	0,06	0	0	0,49	0,14	0	1,12	11,75	0,06	0	0	0,07	0,39	0	0,27	0	0	0	0,04	0,09	0,17	0,18	0
0,12	0,01	0	0	0	0	0,07	0,42	1,43	142,29	0,01	0	0,48	0,06	0,04	0	0	0,63	0,12	0	0,67	8,42	0,03	8,61	9,08	0,05	0,21	0,13	0,41	0	0	0	0	0	0	0,3	0
0,14	0,01	0,45	0,01	0	0	0,23	0,55	0	27,16	0,04	0,01	0,31	0	0,05	0	0	0	0,08	0	0,8	46,91	0,13	1,49	1,5	0,05	0,33	0,6	1,14	0,16	0	0	0,06	0	0,03	0,15	0
0,12	0,03	0	0,06	0	0	0,13	0,48	0,8	101,36	0,01	0,01	0,55	0	0,04	0	0	0	0,08	0	1,16	11,86	0,04	0	0	0	0,32	0	0	0,45	0	0	0,08	0	0	0,1	0
0,1	0,01	0,09	0	0	0	0	0,57	0,24	128,2	0	0	0	0	0,04	0	0	0	0,04	0	0,2	19,95	0,07	0	0	0,04	0,28	0,24	0,21	0,06	0	0	0,09	0	0,05	0,02	0
0,14	0,02	0	0,06	0	0	0,13	0,57	0,49	70,72	0,02	0,01	0,43	0,05	0,03	0	0	0,44	0,09	0,04	0,49	5,11	0,02	2,77	2,85	0,07	0,24	0,25	0,56	0,1	0	0	0,09	0	0,07	0,32	0
0	0	0	0	0,07	0,07	0,2	0,5	0	0	0	0	0,02	0,06	0,02	0	0	0,03	0,01	0	0,17	0	0	0,03	0,04	0,02	0,15	0,31	0,33	0,06	0	0	0,08	0	0	0	0
